,county,occupied_units,vacant_units,year,percent_occupied,total_units
50,"Marion County, Ohio",24736,3107,2012,0.8884100132887979,27843
51,"Medina County, Ohio",65272,3833,2012,0.9445336806309239,69105
52,"Meigs County, Ohio",9598,1563,2012,0.8599587850551026,11161
53,"Mercer County, Ohio",15715,1836,2012,0.8953905760355535,17551
54,"Miami County, Ohio",41225,2901,2012,0.9342564474459503,44126
55,"Monroe County, Ohio",6071,1481,2012,0.8038930084745762,7552
56,"Montgomery County, Ohio",222892,31745,2012,0.8753323358349336,254637
57,"Morgan County, Ohio",6271,1615,2012,0.7952066954095867,7886
58,"Morrow County, Ohio",13035,1080,2012,0.9234856535600425,14115
59,"Muskingum County, Ohio",33986,3901,2012,0.8970359226119777,37887
60,"Noble County, Ohio",4804,1216,2012,0.7980066445182724,6020
61,"Ottawa County, Ohio",17688,10199,2012,0.6342740344963603,27887
62,"Paulding County, Ohio",7700,1055,2012,0.8794974300399772,8755
63,"Perry County, Ohio",13688,1463,2012,0.9034387169163751,15151
64,"Pickaway County, Ohio",19196,1985,2012,0.9062839337141778,21181
65,"Pike County, Ohio",10730,1745,2012,0.8601202404809619,12475
66,"Portage County, Ohio",61016,6406,2012,0.904986502921895,67422
67,"Preble County, Ohio",16396,1473,2012,0.9175667356875035,17869
68,"Putnam County, Ohio",13083,651,2012,0.9525993883792049,13734
69,"Richland County, Ohio",48636,5927,2012,0.8913732749298976,54563
70,"Ross County, Ohio",27966,4036,2012,0.873882882319855,32002
71,"Sandusky County, Ohio",23905,2459,2012,0.9067288727052041,26364
72,"Scioto County, Ohio",29570,4617,2012,0.8649486646971071,34187
73,"Seneca County, Ohio",21891,2200,2012,0.9086795898883401,24091
74,"Shelby County, Ohio",18287,1883,2012,0.9066435299950422,20170
75,"Stark County, Ohio",150299,14827,2012,0.9102079624044669,165126
76,"Summit County, Ohio",221296,23633,2012,0.9035108133377427,244929
77,"Trumbull County, Ohio",86760,9393,2012,0.902311940345075,96153
78,"Tuscarawas County, Ohio",36298,3825,2012,0.9046681454527329,40123
79,"Union County, Ohio",18113,1319,2012,0.93212227254014,19432
80,"Van Wert County, Ohio",11296,1331,2012,0.8945909558881762,12627
81,"Vinton County, Ohio",5313,945,2012,0.8489932885906041,6258
82,"Warren County, Ohio",75875,4851,2012,0.9399078363848079,80726
83,"Washington County, Ohio",24975,3348,2012,0.8817921830314586,28323
84,"Wayne County, Ohio",42354,3472,2012,0.924235150351329,45826
85,"Williams County, Ohio",15033,1635,2012,0.9019078473722102,16668
86,"Wood County, Ohio",48789,4577,2012,0.9142337818086422,53366
87,"Wyandot County, Ohio",9281,587,2012,0.9405147952979327,9868
0,"Licking County, Ohio",63314,5655,2011,0.9180066406646464,68969
1,"Logan County, Ohio",18095,5067,2011,0.7812365080735688,23162
2,"Lorain County, Ohio",115534,10912,2011,0.913702291887446,126446
3,"Lucas County, Ohio",178777,23901,2011,0.882074028754971,202678
4,"Madison County, Ohio",14791,1105,2011,0.9304856567689985,15896
5,"Mahoning County, Ohio",98749,13325,2011,0.8811053411139069,112074
6,"Marion County, Ohio",24851,2972,2011,0.8931818998670165,27823
7,"Medina County, Ohio",64813,3842,2011,0.9440390357585027,68655
8,"Meigs County, Ohio",9644,1549,2011,0.8616099347806665,11193
9,"Mercer County, Ohio",15689,1881,2011,0.892942515651679,17570
10,"Miami County, Ohio",41364,2687,2011,0.9390025198065878,44051
11,"Monroe County, Ohio",6167,1400,2011,0.8149861239592969,7567
12,"Montgomery County, Ohio",223546,31275,2011,0.8772667872742043,254821
13,"Morgan County, Ohio",6252,1649,2011,0.7912922414884191,7901
14,"Morrow County, Ohio",13084,967,2011,0.931179275496406,14051
15,"Muskingum County, Ohio",34262,3637,2011,0.9040344072402966,37899
16,"Noble County, Ohio",4771,1252,2011,0.7921301676905197,6023
17,"Ottawa County, Ohio",18009,9798,2011,0.6476426799007444,27807
18,"Paulding County, Ohio",7571,1199,2011,0.8632839224629418,8770
19,"Perry County, Ohio",13762,1381,2011,0.9088027471438949,15143
20,"Pickaway County, Ohio",19284,1857,2011,0.9121612033489428,21141
21,"Pike County, Ohio",10816,1616,2011,0.87001287001287,12432
22,"Portage County, Ohio",61746,5481,2011,0.9184702574858316,67227
23,"Preble County, Ohio",16321,1563,2011,0.912603444419593,17884
24,"Putnam County, Ohio",12936,751,2011,0.9451304157229488,13687
25,"Richland County, Ohio",48593,6094,2011,0.888565838316236,54687
26,"Ross County, Ohio",28158,3869,2011,0.8791956786461423,32027
27,"Sandusky County, Ohio",24031,2362,2011,0.9105065737127268,26393
28,"Scioto County, Ohio",29788,4432,2011,0.8704850964348334,34220
29,"Seneca County, Ohio",22026,2123,2011,0.9120874570375584,24149
30,"Shelby County, Ohio",18507,1622,2011,0.919419742659844,20129
31,"Stark County, Ohio",150072,15009,2011,0.9090809966016683,165081
32,"Summit County, Ohio",221498,23319,2011,0.9047492616934282,244817
33,"Trumbull County, Ohio",86746,9516,2011,0.9011447923375787,96262
34,"Tuscarawas County, Ohio",36262,3877,2011,0.9034106479982063,40139
35,"Union County, Ohio",17795,1508,2011,0.9218774283790084,19303
36,"Van Wert County, Ohio",11381,1241,2011,0.9016796070353351,12622
37,"Vinton County, Ohio",5305,949,2011,0.8482571154461145,6254
38,"Warren County, Ohio",75283,4732,2011,0.9408610885458977,80015
